Rank,Title,Studio,Release Date,Opening Box Office,Opening Theaters,Genre,Runtime,Rating,Lifetime Gross
149,The Exorcist,Warner Bros.,26-Dec-73,N/A,N/A,Horror,2 hrs. 2 min.,R,"$232,906,145 "
240,Snow White and the Seven Dwarfs,Disney,21-Dec-37,N/A,N/A,Animation,1 hrs. 23 min.,G,"$184,925,486 "
304,Three Men and a Baby,Buena Vista,25-Nov-87,N/A,N/A,Comedy,1 hrs. 42 min.,PG,"$167,780,960 "
343,The Sting,Universal,25-Dec-73,N/A,N/A,Crime Comedy,2 hrs. 9 min.,PG,"$156,000,000 "
406,National Lampoon's Animal House,Universal,28-Jul-78,N/A,N/A,Comedy,1 hrs. 49 min.,R,"$141,600,000 "
114,Jaws,Universal,20-Jun-75,N/A,N/A,Horror Thriller,2 hrs. 5 min.,PG,"$260,000,000 "
407,Pocahontas,Buena Vista,16-Jun-95,N/A,N/A,Animation,1 hrs. 21 min.,G,"$141,579,773 "
26,The Lion King,Buena Vista,15-Jun-94,N/A,N/A,Animation,1 hrs. 29 min.,G,"$422,783,777 "
411,The Blair Witch Project,Artisan,16-Jul-99,N/A,N/A,Horror,1 hrs. 26 min.,R,"$140,539,099 "
266,Tootsie,Columbia,17-Dec-82,N/A,N/A,Comedy,1 hrs. 59 min.,PG,"$177,200,000 "
518,Rocky III,United Artists,28-May-82,N/A,N/A,Sports Drama,1 hrs. 39 min.,PG,"$125,049,125 "
136,My Big Fat Greek Wedding,IFC,19-Apr-02,N/A,N/A,Romantic Comedy,1 hrs. 35 min.,PG,"$241,438,208 "
250,Lincoln,Buena Vista,9-Nov-12,N/A,N/A,Historical Drama,2 hrs. 25 min.,PG-13,"$182,207,973 "
242,Dances with Wolves,Orion Pictures,9-Nov-90,N/A,N/A,Western,3 hrs. 3 min.,PG-13,"$184,208,848 "
358,Gremlins,Warner Bros.,8-Jun-84,N/A,N/A,Horror Comedy,1 hrs. 46 min.,PG,"$153,083,102 "
423,The King's Speech,Weinstein Company,26-Nov-10,N/A,N/A,Historical Drama,1 hrs. 58 min.,R,"$138,797,449 "
37,Frozen,Buena Vista,22-Nov-13,N/A,N/A,Animation,1 hrs. 48 min.,PG,"$400,738,009 "
322,A Bug's Life,Buena Vista,20-Nov-98,N/A,N/A,Animation,1 hrs. 36 min.,G,"$162,798,565 "
130,Toy Story 2,Buena Vista,19-Nov-99,N/A,N/A,Animation,1 hrs. 32 min.,G,"$245,852,179 "
463,Silver Linings Playbook,Weinstein Company,16-Nov-12,N/A,N/A,Comedy,2 hrs. 2 min.,R,"$132,092,958 "
